ro.build.id,ro.build.display.id,ro.product.name,ro.product.device,ro.product.board,ro.product.manufacturer,ro.product.brand,ro.product.model,ro.bootloader,ro.hardware,ro.build.type,ro.build.tags,ro.build.fingerprint,ro.build.user,ro.build.host,ro.build.version.incremental,ro.build.version.release,ro.build.version.sdk,ro.build.version.codename,screen.height,screen.width,screen.density,screen.xdpi,screen.ydpi,screen.dpi,screen.scaledDensity
RP1A.200720.012,RP1A.200720.012.A325FXXU2AUJ4,a32ser,a32,k69v1_64_titan_marmot,samsung,samsung,SM-A325F,A325FXXU2AUJ4,mt6769t,user,release-keys,samsung/a32ser/a32:11/RP1A.200720.012/A325FXXU2AUJ4:user/release-keys,dpi,21DJF711,A325FXXU2AUJ4,11,30,REL,2195,1080,2.62,0.0000,0.0000,0,0.00
HONORHRY-L21,HRY-LX1 10.0.0.221(C10E4R2P2),HRY-LX1RU,HWHRY-H,HRY-L21,HUAWEI,HONOR,HRY-LX1,unknown,kirin710,user,release-keys,HONOR/HRY-LX1RU/HWHRY-H:10/HONORHRY-L21/10.0.0.221C10:user/release-keys,test,cn-central-1b-08c0c14c51596708610560-2051439213-275jk,10.0.0.221C10,10,29,REL,2139,1080,3.00,0.0000,0.0000,0,0.00
RKQ1.201022.002,RKQ1.201022.002 test-keys,sunny_ru,sunny,sunny,Xiaomi,Redmi,M2101K7AG,unknown,qcom,user,release-keys,Redmi/sunny_ru/sunny:11/RKQ1.201022.002/V12.5.2.0.RKGRUXM:user/release-keys,builder,c5-miui-ota-bd039.bj,V12.5.2.0.RKGRUXM,11,30,REL,2263,1080,2.75,0.0000,0.0000,0,0.00
RKQ1.200826.002,RKQ1.200826.002 test-keys,davinci,davinci,davinci,Xiaomi,Xiaomi,Mi 9T,unknown,qcom,user,release-keys,Xiaomi/davinci/davinci:11/RKQ1.200826.002/V12.1.4.0.RFJMIXM:user/release-keys,builder,c5-miui-ota-bd142.bj,V12.1.4.0.RFJMIXM,11,30,REL,2210,1080,2.75,0.0000,0.0000,0,0.00
RP1A.200720.011,RMX2156_11_C.15,RMX2156RU,RMX2156L1,RM6785,realme,realme,RMX2156,unknown,mt6785,user,release-keys,realme/RMX2156RU/RMX2156L1:11/RP1A.200720.011/1634500285632:user/release-keys,root,cp-ubuntu-123,1634500285632,11,30,REL,2153,1080,3.00,0.0000,0.0000,0,0.00
QKQ1.190828.002,QKQ1.190828.002 test-keys,beryllium_ru,beryllium,sdm845,Xiaomi,Xiaomi,POCOPHONE F1,unknown,qcom,user,release-keys,Xiaomi/beryllium_ru/beryllium:10/QKQ1.190828.002/V12.0.3.0.QEJRUXM:user/release-keys,builder,c4-miui-ota-bd48.bj,V12.0.3.0.QEJRUXM,10,29,REL,2027,1080,2.75,0.0000,0.0000,0,0.00
RP1A.200720.011,RMX3201_11_C.03,RMX3201RU,RMX3201,RM6765,realme,realme,RMX3201,unknown,mt6765,user,release-keys,realme/RMX3201RU/RMX3201:11/RP1A.200720.011/1632630156628:user/release-keys,root,ubuntu-10-213,1632630156628,11,30,REL,1448,720,2.00,0.0000,0.0000,0,0.00
QPAS30.19-Q3-32-50-7,QPAS30.19-Q3-32-50-7,odessa_retailr,odessa,odessa,motorola,motorola,moto g(9) plus,MBM-3.0-odessa_retail-ff03fdc808-210704,qcom,user,release-keys,motorola/odessa_retailr/odessa:10/QPAS30.19-Q3-32-50-7/62c2e:user/release-keys,hudsoncm,ilclbld153,62c2e,10,29,REL,2184,1080,2.50,0.0000,0.0000,0,0.00
PPR1.180610.011,CPH1923EX_11_A.40,CPH1923RU,OP486C,oppo6762_18540,OPPO,OPPO,CPH1923,unknown,mt6765,user,release-keys,OPPO/CPH1923RU/OP486C:9/PPR1.180610.011/2021030000:user/release-keys,root,ubuntu-142-22,1620291608,9,28,REL,1412,720,2.00,0.0000,0.0000,0,0.00
HONORHRY-L21,HRY-LX1 9.0.1.145(C10E8R1P12),HRY-LX1RU,HWHRY-H,HRY-L21,HUAWEI,HONOR,HRY-LX1,unknown,kirin710,user,release-keys,HONOR/HRY-LX1RU/HWHRY-H:9/HONORHRY-L21/145C10R1:user/release-keys,test,wh2e205e6a741547719556649-1795643295-rsxl5,145C10R1,9,28,REL,2259,1080,3.00,0.0000,0.0000,0,0.00
RKQ1.200826.002,RKQ1.200826.002 test-keys,joyeuse_global,joyeuse,joyeuse,Xiaomi,Redmi,Redmi Note 9 Pro,unknown,qcom,user,release-keys,Redmi/joyeuse_global/joyeuse:11/RKQ1.200826.002/V12.0.4.0.RJZMIXM:user/release-keys,builder,c4-miui-ota-bd28.bj,V12.0.4.0.RJZMIXM,11,30,REL,2168,1080,2.75,0.0000,0.0000,0,0.00
QKQ1.200830.002,Android-Q-build-20210621042431,lemon_eea,lemon,lemon,Xiaomi,Redmi,M2010J19SY,unknown,qcom,user,release-keys,Redmi/lemon_eea/lemon:10/QKQ1.200830.002/V12.0.10.0.QJQEUXM:user/release-keys,builder,c5-miui-ota-bd217.bj,V12.0.10.0.QJQEUXM,10,29,REL,2132,1080,2.75,0.0000,0.0000,0,0.00
HUAWEICOL-L29,COL-L29 9.1.0.364(C10E5R1P14),COL-L29RU,HWCOL,COL,HUAWEI,HONOR,COL-L29,unknown,kirin970,user,release-keys,HONOR/COL-L29RU/HWCOL:9/HUAWEICOL-L29/9.1.0.364C10:user/release-keys,test,cn-central-1b-eb6531b081583133758727-2966326951-sg8t6,9.1.0.364C10,9,28,REL,2060,1080,3.00,0.0000,0.0000,0,0.00
QP1A.190711.020,build-20201209094426,galahad_ru,galahad,galahad,Xiaomi,Redmi,M2004J19C,unknown,mt6768,user,release-keys,Redmi/galahad_ru/galahad:10/QP1A.190711.020/V12.0.1.0.QJCRUXM:user/release-keys,builder,c4-miui-ota-bd141.bj,V12.0.1.0.QJCRUXM,10,29,REL,2134,1080,2.75,0.0000,0.0000,0,0.00
HONORJSN-L21,JSN-L21 10.0.0.225(C10E2R4P1),JSN-L21RU,HWJSN-H,JSN-L21,HUAWEI,HONOR,JSN-L21,unknown,kirin710,user,release-keys,HONOR/JSN-L21RU/HWJSN-H:10/HONORJSN-L21/10.0.0.225C10:user/release-keys,test,cn-central-1b-472d1c3791596016366239-4058743965-7nr40,10.0.0.225C10,10,29,REL,2137,1080,3.00,0.0000,0.0000,0,0.00
